Series,Category_Key,Best_Model,CV_RMSE,CV_MAPE,Date,Forecast
A_I_K,A_I_K,SeasonalNaive,185703.68,2.27,2016-09,7100496.0
A_I_K,A_I_K,SeasonalNaive,185703.68,2.27,2016-10,4875816.0
A_I_K,A_I_K,SeasonalNaive,185703.68,2.27,2016-11,6936963.0
A_I_K,A_I_K,SeasonalNaive,185703.68,2.27,2016-12,8876399.0
A_I_K,A_I_K,SeasonalNaive,185703.68,2.27,2017-01,5620301.0
A_I_K,A_I_K,SeasonalNaive,185703.68,2.27,2017-02,5675920.0
A_I_K,A_I_K,SeasonalNaive,185703.68,2.27,2017-03,6573206.0
A_I_K,A_I_K,SeasonalNaive,185703.68,2.27,2017-04,4827483.0
A_I_K,A_I_K,SeasonalNaive,185703.68,2.27,2017-05,4615806.0
A_I_K,A_I_K,SeasonalNaive,185703.68,2.27,2017-06,5721874.0
A_I_K,A_I_K,SeasonalNaive,185703.68,2.27,2017-07,5082202.0
A_I_K,A_I_K,SeasonalNaive,185703.68,2.27,2017-08,6690146.0
A_C_NULL_s14,A_C_NULL,"ETS(M,A,M)",906242.43,15.63,2016-09,2735877.27
A_C_NULL_s14,A_C_NULL,"ETS(M,A,M)",906242.43,15.63,2016-10,2085164.9
A_C_NULL_s14,A_C_NULL,"ETS(M,A,M)",906242.43,15.63,2016-11,8880304.49
A_C_NULL_s14,A_C_NULL,"ETS(M,A,M)",906242.43,15.63,2016-12,9728891.61
A_C_NULL_s14,A_C_NULL,"ETS(M,A,M)",906242.43,15.63,2017-01,1597245.58
A_C_NULL_s14,A_C_NULL,"ETS(M,A,M)",906242.43,15.63,2017-02,2439348.41
A_C_NULL_s14,A_C_NULL,"ETS(M,A,M)",906242.43,15.63,2017-03,2214907.0
A_C_NULL_s14,A_C_NULL,"ETS(M,A,M)",906242.43,15.63,2017-04,1400400.27
A_C_NULL_s14,A_C_NULL,"ETS(M,A,M)",906242.43,15.63,2017-05,1515711.26
A_C_NULL_s14,A_C_NULL,"ETS(M,A,M)",906242.43,15.63,2017-06,1755102.46
A_C_NULL_s14,A_C_NULL,"ETS(M,A,M)",906242.43,15.63,2017-07,1532484.61
A_C_NULL_s14,A_C_NULL,"ETS(M,A,M)",906242.43,15.63,2017-08,1584615.41
B_I_K,B_I_K,"ETS(A,Md,A)",274427.31,5.38,2016-09,5811310.05
B_I_K,B_I_K,"ETS(A,Md,A)",274427.31,5.38,2016-10,3706672.16
B_I_K,B_I_K,"ETS(A,Md,A)",274427.31,5.38,2016-11,4521614.72
B_I_K,B_I_K,"ETS(A,Md,A)",274427.31,5.38,2016-12,6211573.7
B_I_K,B_I_K,"ETS(A,Md,A)",274427.31,5.38,2017-01,4187963.86
B_I_K,B_I_K,"ETS(A,Md,A)",274427.31,5.38,2017-02,4389584.73
B_I_K,B_I_K,"ETS(A,Md,A)",274427.31,5.38,2017-03,6450282.38
B_I_K,B_I_K,"ETS(A,Md,A)",274427.31,5.38,2017-04,4879849.44
B_I_K,B_I_K,"ETS(A,Md,A)",274427.31,5.38,2017-05,3918040.42
B_I_K,B_I_K,"ETS(A,Md,A)",274427.31,5.38,2017-06,5859977.64
B_I_K,B_I_K,"ETS(A,Md,A)",274427.31,5.38,2017-07,4082962.01
B_I_K,B_I_K,"ETS(A,Md,A)",274427.31,5.38,2017-08,4836749.28
C_C_W_s79,C_C_W,Nixtla_AutoARIMA,168039.53,2.39,2016-09,4319090.0
C_C_W_s79,C_C_W,Nixtla_AutoARIMA,168039.53,2.39,2016-10,3056907.0
C_C_W_s79,C_C_W,Nixtla_AutoARIMA,168039.53,2.39,2016-11,3212177.0
C_C_W_s79,C_C_W,Nixtla_AutoARIMA,168039.53,2.39,2016-12,5625645.0
C_C_W_s79,C_C_W,Nixtla_AutoARIMA,168039.53,2.39,2017-01,2645907.0
C_C_W_s79,C_C_W,Nixtla_AutoARIMA,168039.53,2.39,2017-02,2615332.0
C_C_W_s79,C_C_W,Nixtla_AutoARIMA,168039.53,2.39,2017-03,3549073.0
C_C_W_s79,C_C_W,Nixtla_AutoARIMA,168039.53,2.39,2017-04,2453337.0
C_C_W_s79,C_C_W,Nixtla_AutoARIMA,168039.53,2.39,2017-05,2107023.0
C_C_W_s79,C_C_W,Nixtla_AutoARIMA,168039.53,2.39,2017-06,3247359.0
C_C_W_s79,C_C_W,Nixtla_AutoARIMA,168039.53,2.39,2017-07,2384793.0
C_C_W_s79,C_C_W,Nixtla_AutoARIMA,168039.53,2.39,2017-08,2470982.0
C_G_F,C_G_F,Nixtla_AutoETS,140291.73,3.01,2016-09,4302805.33
C_G_F,C_G_F,Nixtla_AutoETS,140291.73,3.01,2016-10,3339439.79
C_G_F,C_G_F,Nixtla_AutoETS,140291.73,3.01,2016-11,3603490.17
C_G_F,C_G_F,Nixtla_AutoETS,140291.73,3.01,2016-12,5032801.16
C_G_F,C_G_F,Nixtla_AutoETS,140291.73,3.01,2017-01,3108022.64
C_G_F,C_G_F,Nixtla_AutoETS,140291.73,3.01,2017-02,3339183.47
C_G_F,C_G_F,Nixtla_AutoETS,140291.73,3.01,2017-03,4297502.05
C_G_F,C_G_F,Nixtla_AutoETS,140291.73,3.01,2017-04,3276734.65
C_G_F,C_G_F,Nixtla_AutoETS,140291.73,3.01,2017-05,2705807.92
C_G_F,C_G_F,Nixtla_AutoETS,140291.73,3.01,2017-06,3780956.25
C_G_F,C_G_F,Nixtla_AutoETS,140291.73,3.01,2017-07,2896663.1
C_G_F,C_G_F,Nixtla_AutoETS,140291.73,3.01,2017-08,3211077.78
A_C_NULL_s15,A_C_NULL,"ETS(M,M,M)",427922.36,16.14,2016-09,1469310.74
A_C_NULL_s15,A_C_NULL,"ETS(M,M,M)",427922.36,16.14,2016-10,1327277.01
A_C_NULL_s15,A_C_NULL,"ETS(M,M,M)",427922.36,16.14,2016-11,4075160.39
A_C_NULL_s15,A_C_NULL,"ETS(M,M,M)",427922.36,16.14,2016-12,4606676.81
A_C_NULL_s15,A_C_NULL,"ETS(M,M,M)",427922.36,16.14,2017-01,1213472.09
A_C_NULL_s15,A_C_NULL,"ETS(M,M,M)",427922.36,16.14,2017-02,1261774.61
A_C_NULL_s15,A_C_NULL,"ETS(M,M,M)",427922.36,16.14,2017-03,1383893.08
A_C_NULL_s15,A_C_NULL,"ETS(M,M,M)",427922.36,16.14,2017-04,1065089.63
A_C_NULL_s15,A_C_NULL,"ETS(M,M,M)",427922.36,16.14,2017-05,1162413.29
A_C_NULL_s15,A_C_NULL,"ETS(M,M,M)",427922.36,16.14,2017-06,1397206.03
A_C_NULL_s15,A_C_NULL,"ETS(M,M,M)",427922.36,16.14,2017-07,1014572.95
A_C_NULL_s15,A_C_NULL,"ETS(M,M,M)",427922.36,16.14,2017-08,1057311.62
